지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
100,2001-01-01 00:00,-12.9,,5,290,65,1.5,-17.9,915.3,1021.3,,,1.2,,0,0,,,2000,,,,,,,
100,2001-01-01 01:00,-15,,3.6,270,82,,,,,,,,,,,,,,,,,,,,
100,2001-01-01 02:00,-16.3,,4.2,270,84,,,,,,,,,,,,,,,,,,,,
100,2001-01-01 03:00,-17,,3.8,270,85,1.3,-18.8,915.8,1023.5,,,1.2,,0,0,,,2000,12,,-14,,,,
100,2001-01-01 04:00,-16.6,,3.8,270,83,,,,,,,,,,,,,,,,,,,,
100,2001-01-01 05:00,-17.5,,3.7,270,83,,,,,,,,,,,,,,,,,,,,
100,2001-01-01 06:00,-16.5,,5.2,270,81,1.4,-18.9,915.2,1022.6,,,1.2,,0,0,,,2000,,,,,,,
100,2001-01-01 07:00,-16.8,,4.3,270,83,,,,,,,,,,,,,,,,,,,,
100,2001-01-01 08:00,-16.6,,5,270,83,,,,,0,.04,,,,,,,,,,,,,,
100,2001-01-01 09:00,-13.9,,5.6,270,78,1.6,-16.9,915,1021.2,.8,.55,1.2,,2,0,Ci,,2000,12,,-12.1,,,,
100,2001-01-01 10:00,-11.3,,6.1,250,70,,,,,.9,1.24,,,,,,,,,,,,,,
100,2001-01-01 11:00,-7.4,,6.4,250,47,,,,,1,1.77,,,,,,,,,,,,,,
100,2001-01-01 12:00,-5.4,,7.2,270,35,1.5,-18.1,913.1,1015.5,1,1.89,1.2,,2,2,Ac,30,2000,,,,,,,
100,2001-01-01 13:00,-3.3,,5.6,270,28,,,,,1,1.92,,,,,,,,,,,,,,
100,2001-01-01 14:00,-3.2,,6.6,270,23,,,,,1,1.71,,,,,,,,,,,,,,
100,2001-01-01 15:00,-4.4,,6.5,270,27,1.2,-20.3,911.4,1013.2,.8,1.08,1,,9,9,As,24,1800,12,,-2,,,,
100,2001-01-01 16:00,-4.8,,4.7,270,35,,,,,.1,.47,,,,,,,,,,,,,,
100,2001-01-01 17:00,-5.8,,4,270,29,,,,,.2,.22,,,,,,,,,,,,,,
100,2001-01-01 18:00,-6.8,,6.9,270,29,1.1,-21.6,910.9,1013.6,0,0,.8,,2,0,Ci,,1800,,,,,,,
100,2001-01-01 19:00,-6.9,,6.6,270,41,,,,,,,,,,,,,,,,,,,,
100,2001-01-01 20:00,-7.1,,6.7,270,52,,,,,,,,,,,,,,,,,,,,
100,2001-01-01 21:00,-7.7,0,7.3,270,81,2.8,-10.4,907.8,1010.6,,,.8,,10,7,StNs,4,1200,12,5,-5.2,,,,
100,2001-01-01 22:00,-6.9,,6.9,270,80,,,,,,,,,,,,,,,5,,,,,
100,2001-01-01 23:00,-6.5,,7.7,270,90,,,,,,,,,,,,,,,5,,,,,
100,2001-01-02 00:00,-5.5,.3,12.9,270,95,3.9,-6.1,906.6,1008.3,,,1.2,.4,10,6,StNs,2,500,,5,,,,,
100,2001-01-02 01:00,-4.9,,12.1,270,90,,,,,,,,,,,,,,,5,,,,,
100,2001-01-02 02:00,-4.8,,12.5,270,94,,,,,,,,,,,,,,,5,,,,,
100,2001-01-02 03:00,-4.9,.1,10.6,250,68,2.9,-9.7,907.4,1008.9,,,1.5,.3,10,6,StNs,2,500,12,5,-6,,,,
100,2001-01-02 04:00,-5.3,,11.8,270,67,,,,,,,,,,,,,,,5,,,,,
100,2001-01-02 05:00,-5.9,,12.3,270,67,,,,,,,,,,,,,,,,,,,,
100,2001-01-02 06:00,-6.4,0,12.3,270,78,2.9,-9.6,907,1009.2,,,1.5,,10,4,ScAs,6,1200,,,,,,,
100,2001-01-02 07:00,-7,,11.6,250,89,,,,,,,,,,,,,,,5,,,,,
100,2001-01-02 08:00,-7.3,,13.3,250,88,,,,,0,.01,,,,,,,,,5,,,,,
100,2001-01-02 09:00,-6.8,.2,14.9,270,77,2.8,-10.1,906.8,1009,0,.3,1.6,.2,5,5,Sc,5,450,12,5,-4.6,,,,
100,2001-01-02 10:00,-6.3,,15.4,270,67,,,,,.9,.82,,,,,,,,,5,,,,,
100,2001-01-02 11:00,-6.9,,16.1,250,68,,,,,.5,.96,,,,,,,,,2205,,,,,
100,2001-01-02 12:00,-6.6,0,14.6,270,51,1.9,-14.9,906.5,1008.7,1,1.48,1.6,,2,2,Sc,4,300,,4222,,,,,
100,2001-01-02 13:00,-6.3,,12.7,270,46,,,,,1,1.65,,,,,,,,,42,,,,,
100,2001-01-02 14:00,-6.7,,13.5,270,47,,,,,1,1.55,,,,,,,,,42,,,,,
100,2001-01-02 15:00,-7.2,,12.6,270,49,1.7,-15.9,907.4,1009.9,1,1.13,1.3,,2,2,Sc,5,300,12,42,-4.4,,,,
100,2001-01-02 16:00,-8,,13.4,270,47,,,,,.9,.68,,,,,,,,,42,,,,,
100,2001-01-02 17:00,-8.9,,14.4,270,55,,,,,0,.22,,,,,,,,,42,,,,,
100,2001-01-02 18:00,-9.7,,15.6,270,56,1.7,-16.7,908.5,1012.2,0,.01,1.1,,0,0,,,300,,42,,,,,
100,2001-01-02 19:00,-10.3,,11.7,270,58,,,,,,,,,,,,,,,42,,,,,
100,2001-01-02 20:00,-10.9,,13.1,270,57,,,,,,,,,,,,,,,42,,,,,
100,2001-01-02 21:00,-11.7,,10.1,270,57,1.4,-18.3,910.8,1015.6,,,1.1,,0,0,,,350,12,42,-7.6,,,,
100,2001-01-02 22:00,-12.3,,10.2,270,57,,,,,,,,,,,,,,,42,,,,,
100,2001-01-02 23:00,-12.9,,9.7,270,57,,,,,,,,,,,,,,,42,,,,,
100,2001-01-03 00:00,-13.5,,11.3,270,58,1.3,-19.8,911.3,1017,,,1.1,,0,0,,,500,,42,,,,,
100,2001-01-03 01:00,-14.3,,10.8,270,61,,,,,,,,,,,,,,,42,,,,,
100,2001-01-03 02:00,-15.2,,13.2,270,59,,,,,,,,,,,,,,,,,,,,
100,2001-01-03 03:00,-15.9,,13.9,250,61,1.1,-21.5,912.5,1019.3,,,1.1,,0,0,,,1500,12,,-12,,,,
100,2001-01-03 04:00,-16.4,,13.8,270,58,,,,,,,,,,,,,,,,,,,,
100,2001-01-03 05:00,-16.6,,13.7,270,54,,,,,,,,,,,,,,,,,,,,
100,2001-01-03 06:00,-16.7,,13.3,270,52,.9,-24,912.5,1019.7,,,1.1,,0,0,,,1500,,,,,,,
100,2001-01-03 07:00,-16.7,,11.3,270,52,,,,,,,,,,,,,,,,,,,,
100,2001-01-03 08:00,-16.6,,10,270,51,,,,,0,.02,,,,,,,,,,,,,,
100,2001-01-03 09:00,-14.6,,11.2,270,46,.9,-23.4,913.7,1020,.9,.37,1.1,,0,0,,,2000,12,,-13.8,,,,
100,2001-01-03 10:00,-12.8,,12,250,45,,,,,1,.98,,,,,,,,,,,,,,
100,2001-01-03 11:00,-11.3,,11.7,270,46,,,,,1,1.49,,,,,,,,,,,,,,
100,2001-01-03 12:00,-10.3,,12.3,250,46,1.3,-19.6,913.4,1017.9,1,1.83,1.1,,0,0,,,2000,,,,,,,
100,2001-01-03 13:00,-9.9,,12.1,270,46,,,,,1,1.96,,,,,,,,,,,,,,
100,2001-01-03 14:00,-9.2,,11.4,270,41,,,,,1,1.85,,,,,,,,,,,,,,
100,2001-01-03 15:00,-8.8,,10.1,270,39,1.3,-20,912.9,1016.7,1,1.55,.9,,1,1,Sc,5,2000,12,,-5.9,,,,
100,2001-01-03 16:00,-9.5,,11.9,270,37,,,,,1,.97,,,,,,,,,,,,,,
100,2001-01-03 17:00,-10.5,,10,270,42,,,,,.6,.33,,,,,,,,,,,,,,
100,2001-01-03 18:00,-11.1,,8.7,270,43,1.1,-21,913.9,1018.7,0,.01,.9,,1,1,Sc,5,2000,,,,,,,
100,2001-01-03 19:00,-12,,10.1,250,45,,,,,,,,,,,,,,,,,,,,
100,2001-01-03 20:00,-12.6,,11.9,270,47,,,,,,,,,,,,,,,,,,,,
100,2001-01-03 21:00,-13.3,,11.3,250,52,1.2,-20.9,913.6,1019.4,,,.9,,0,0,,,2000,12,,-13.1,,,,
100,2001-01-03 22:00,-13.9,,12.3,250,54,,,,,,,,,,,,,,,,,,,,
